   #Date       Time       lat.     long.   depth  Mn   residue
2018-01-25 03:19:14.051 34.58977 46.20444 5.998 3.90 0.060
2018-01-25 12:13:51.384 34.54490 45.56476 8.460 3.40 0.365
2018-01-28 10:13:05.783 34.83695 45.60244 4.895 3.30 0.335
2018-02-01 11:07:33.051 34.69147 45.67470 7.149 3.50 0.097
2018-02-01 20:14:50.820 34.66015 45.52194 6.000 3.80 0.551
2018-02-02 00:49:15.437 34.65265 45.56954 2.285 3.10 0.538
2018-02-02 09:42:58.810 34.78902 45.74244 6.010 4.00 0.379
2018-02-03 02:28:42.545 34.61296 46.22168 4.806 3.10 0.218
2018-02-05 02:34:25.405 34.41214 45.79347 7.504 3.10 0.317
2018-02-10 03:02:45.163 34.79078 45.84732 29.99 3.60 0.652
2018-02-16 05:56:42.142 34.55072 46.24558 7.710 3.50 0.552
2018-02-18 22:25:08.980 34.47772 45.41539 7.398 3.10 0.573
2018-02-19 11:02:01.561 34.39103 45.35502 9.972 4.30 0.409
2018-02-24 16:26:35.603 34.01307 44.99097 19.0  4.10 0.945
2018-02-28 10:29:56.619 34.06495 44.98721 10.0  3.80 0.432
2018-03-01 00:16:00.093 34.34594 45.50194 5.109 3.50 0.408
2018-03-01 06:15:40.136 34.60770 46.35133 6.374 3.80 0.559
2018-03-03 06:50:12.968 34.24061 45.97187 8.792 3.30 0.392
2018-03-03 10:18:04.632 34.67132 45.78759 2.000 3.10 0.337
2018-03-03 13:38:47.967 34.38980 45.65991 6.231 8.60 0.070
2018-03-08 04:33:16.735 34.85556 46.39574 2.002 3.30 0.911
2018-03-11 09:48:58.879 34.63349 45.47930 4.597 3.70 0.654
2018-03-11 10:16:46.048 34.59129 45.49523 8.798 6.20 0.028
2018-03-11 14:07:52.820 34.62907 45.49731 5.999 3.30 1.664
2018-03-15 09:45:33.440 34.43027 45.76442 6.349 7.20 0.908
2018-03-19 10:39:05.323 34.60126 45.43987 9.596 3.60 0.291
2018-03-19 10:41:51.249 34.64639 45.48469 2.003 3.20 0.588
2018-03-19 13:51:07.297 34.09309 46.24601 15.20 3.10 0.669
2018-03-19 13:55:04.582 34.07293 46.30305 4.000 3.30 0.251
2018-03-20 02:27:31.938 34.36037 45.75657 2.000 3.70 0.370
2018-03-21 03:13:32.514 34.41543 45.73550 2.001 3.40 0.413
2018-03-21 07:35:51.900 34.69112 45.23717 10.20 4.20 0.668
