#Lon	Lat	Depth size	Mag.
46.221	34.68	9	0.23    2.3
46.158	34.726	5.9	0.29    2.9
45.7	34.403	13.2	0.2     2
46.009	34.613	7.1	0.28    2.8
45.899	34.482	7	0.18    1.8
46.146	34.578	1.4	0.17    1.7
46.248	34.658	10.6	0.28    2.8
46.363	34.784	10.9	0.29    2.9
45.612	34.811	11.6	0.24    2.4
45.881	34.604	8	0.26    2.6
45.875	34.606	7.7	0.27    2.7
45.849	34.984	10.5	0.28    2.8
46.1	34.601	6	0.18    1.8
45.545	34.607	18.2	0.23    2.3
45.939	34.528	10.5	0.21    2.1
45.787	34.902	10.4	0.34    3.4
45.584	34.548	20.5	0.29    2.9
46.233	34.636	12.7	0.41    4.1
45.779	34.441	12.8	0.25    2.5
46.087	34.555	12.1	0.26    2.6
45.847	34.493	12.6	0.17    1.7
46.289	34.694	8.8	0.25    2.5
46.016	34.621	9.7	0.23    2.3
46.289	34.648	11.1	0.34    3.4
45.77	34.638	17.2	0.31    3.1
45.638	34.616	13.1	0.22    2.2
46.066	34.541	8.2	0.29    2.9
46.476	34.384	19.3	0.29    2.9
45.631	35.041	11.2	0.41    4.1
46.292	34.647	11.7	0.38    3.8
46.127	34.682	13.1	0.24    2.4
46.227	34.666	9.8	0.25    2.5
45.767	34.517	15	0.33    3.3
46.412	34.615	12.9	0.32    3.2
46.406	34.61	12.1	0.32    3.2
45.868	34.513	13.5	0.24    2.4
46.388	34.631	10	0.35    3.5
45.421	34.598	22.7	0.31    3.1
45.694	34.8	11.4	0.38    3.8
45.828	34.904	11.9	0.28    2.8
45.825	34.894	11.2	0.27    2.7
45.242	34.69	21	0.35    3.5
46.431	34.643	7.8	0.32    3.2
46.153	34.615	17.2	0.23    2.3
46.12	34.591	8.5	0.23    2.3
45.622	34.558	20.1	0.22    2.2
46.228	34.587	15	0.24    2.4
45.738	34.817	15.3	0.25    2.5
45.702	34.643	8.7	0.18    1.8
45.622	34.549	19.9	0.29    2.9
45.998	34.613	7.5	0.27    2.7
46.373	34.608	7	0.28    2.8
45.998	34.608	6.8	0.22    2.2
45.816	34.789	4.8	0.36    3.6
45.881	34.587	9.3	0.32    3.2
45.879	34.589	9.3	0.26    2.6
45.879	34.593	9.3	0.25    2.5
